 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 2    46  [    2 ( 0,-2, 0) ] 2  :    25   17    5.763
   1  [    1 ( 0, 0, 0) ] 2    64  [    2 ( 1, 0,-2) ] 2  :    45   17    8.523
   1  [    1 ( 0, 0, 0) ] 3     1  [    1 ( 0, 0, 0) ] 3  :     3    1    0.000
   1  [    1 ( 0, 0, 0) ] 3    41  [    2 ( 0, 0, 0) ] 3  :     5    2    4.075
   1  [    1 ( 0, 0, 0) ] 3    59  [    2 (-1, 0, 0) ] 3  :    15    2    7.486
   1  [    1 ( 0, 0, 0) ] 3     9  [    2 ( 0,-1, 0) ] 3  :    27    2    4.778
   1  [    1 ( 0, 0, 0) ] 3    27  [    2 ( 0, 0,-1) ] 3  :    39    2    2.495
   1  [    1 ( 0, 0, 0) ] 3    41  [    2 ( 0, 0, 0) ] 1  :     9    3    4.075
   1  [    1 ( 0, 0, 0) ] 3    41  [    2 ( 0, 0, 0) ] 2  :    11    3    4.075
   1  [    1 ( 0, 0, 0) ] 3    59  [    2 (-1, 0, 0) ] 1  :    29    3    7.486
   1  [    1 ( 0, 0, 0) ] 3    59  [    2 (-1, 0, 0) ] 2  :    33    3    7.486
   1  [    1 ( 0, 0, 0) ] 3     9  [    2 ( 0,-1, 0) ] 1  :    53    3    4.778
   1  [    1 ( 0, 0, 0) ] 3     9  [    2 ( 0,-1, 0) ] 2  :    57    3    4.778
   1  [    1 ( 0, 0, 0) ] 3    27  [    2 ( 0, 0,-1) ] 1  :    77    3    2.495
   1  [    1 ( 0, 0, 0) ] 3    27  [    2 ( 0, 0,-1) ] 2  :    81    3    2.495
   1  [    1 ( 0, 0, 0) ] 3    11  [    2 (-1, 0,-1) ] 3  :    21    4    2.495
   1  [    1 ( 0, 0, 0) ] 3    13  [    2 (-1, 0, 1) ] 3  :    29    4    4.778
   1  [    1 ( 0, 0, 0) ] 3    43  [    2 (-1, 1,-1) ] 3  :    37    4    4.075
   1  [    1 ( 0, 0, 0) ] 3    31  [    2 (-1, 1, 0) ] 3  :    45    4    4.778
   1  [    1 ( 0, 0, 0) ] 3    63  [    2 ( 0,-1,-1) ] 3  :    53    4    7.486
   1  [    1 ( 0, 0, 0) ] 3    57  [    2 ( 0,-1, 1) ] 3  :    61    4    8.150
   1  [    1 ( 0, 0, 0) ] 3    45  [    2 ( 1,-1,-1) ] 3  :    77    4    7.058
   1  [    1 ( 0, 0, 0) ] 3    25  [    2 ( 1,-1, 0) ] 3  :    85    4    4.778
   1  [    1 ( 0, 0, 0) ] 3    11  [    2 (-1, 0,-1) ] 1  :    21    5    2.495
   1  [    1 ( 0, 0, 0) ] 3    13  [    2 (-1, 0, 1) ] 2  :    29    5    4.778
   1  [    1 ( 0, 0, 0) ] 3    43  [    2 (-1, 1,-1) ] 1  :    37    5    4.075
   1  [    1 ( 0, 0, 0) ] 3    31  [    2 (-1, 1, 0) ] 2  :    45    5    4.778
   1  [    1 ( 0, 0, 0) ] 3    63  [    2 ( 0,-1,-1) ] 2  :    53    5    7.486
   1  [    1 ( 0, 0, 0) ] 3    57  [    2 ( 0,-1, 1) ] 1  :    61    5    8.150
   1  [    1 ( 0, 0, 0) ] 3    45  [    2 ( 1,-1,-1) ] 2  :    77    5    7.058
   1  [    1 ( 0, 0, 0) ] 3    25  [    2 ( 1,-1, 0) ] 1  :    85    5    4.778
   1  [    1 ( 0, 0, 0) ] 3    28  [    2 (-1,-1, 0) ] 1  :     9    6    4.075
   1  [    1 ( 0, 0, 0) ] 3    28  [    2 (-1,-1, 0) ] 2  :    13    6    4.075
   1  [    1 ( 0, 0, 0) ] 3    42  [    2 (-1,-1, 1) ] 1  :    25    6    4.778
   1  [    1 ( 0, 0, 0) ] 3    42  [    2 (-1,-1, 1) ] 2  :    29    6    4.778
   1  [    1 ( 0, 0, 0) ] 3    11  [    2 (-1, 0,-1) ] 2  :    45    6    2.495
   1  [    1 ( 0, 0, 0) ] 3    13  [    2 (-1, 0, 1) ] 1  :    61    6    4.778
   1  [    1 ( 0, 0, 0) ] 3    43  [    2 (-1, 1,-1) ] 2  :    77    6    4.075
   1  [    1 ( 0, 0, 0) ] 3    31  [    2 (-1, 1, 0) ] 1  :    93    6    4.778
   1  [    1 ( 0, 0, 0) ] 3    63  [    2 ( 0,-1,-1) ] 1  :   109    6    7.486
   1  [    1 ( 0, 0, 0) ] 3    57  [    2 ( 0,-1, 1) ] 2  :   125    6    8.150
   1  [    1 ( 0, 0, 0) ] 3    60  [    2 ( 0, 1,-1) ] 1  :   137    6    7.058
   1  [    1 ( 0, 0, 0) ] 3    60  [    2 ( 0, 1,-1) ] 2  :   141    6    7.058
   1  [    1 ( 0, 0, 0) ] 3    45  [    2 ( 1,-1,-1) ] 1  :   157    6    7.058
   1  [    1 ( 0, 0, 0) ] 3    25  [    2 ( 1,-1, 0) ] 2  :   173    6    4.778
   1  [    1 ( 0, 0, 0) ] 3    10  [    2 ( 1, 0,-1) ] 1  :   185    6    4.075
   1  [    1 ( 0, 0, 0) ] 3    10  [    2 ( 1, 0,-1) ] 2  :   189    6    4.075
   1  [    1 ( 0, 0, 0) ] 3    28  [    2 (-1,-1, 0) ] 3  :     1    7    4.075
   1  [    1 ( 0, 0, 0) ] 3    42  [    2 (-1,-1, 1) ] 3  :     5    7    4.778
   1  [    1 ( 0, 0, 0) ] 3    60  [    2 ( 0, 1,-1) ] 3  :    33    7    7.058
   1  [    1 ( 0, 0, 0) ] 3    10  [    2 ( 1, 0,-1) ] 3  :    45    7    4.075
   1  [    1 ( 0, 0, 0) ] 3     3  [    1 (-1, 1,-1) ] 3  :    13    8    7.486
   1  [    1 ( 0, 0, 0) ] 3     3  [    1 ( 1,-1, 1) ] 3  :    16    8    7.486
   1  [    1 ( 0, 0, 0) ] 3     5  [    1 (-1, 1, 1) ] 3  :    21    8    4.778
   1  [    1 ( 0, 0, 0) ] 3     5  [    1 ( 1,-1,-1) ] 3  :    24    8    4.778
   1  [    1 ( 0, 0, 0) ] 3     2  [    1 (-1,-1, 1) ] 3  :     1    9    2.495
   1  [    1 ( 0, 0, 0) ] 3     2  [    1 ( 1, 1,-1) ] 3  :     4    9    2.495
   1  [    1 ( 0, 0, 0) ] 3    55  [    1 (-1, 1, 0) ] 3  :     9   10    7.058
   1  [    1 ( 0, 0, 0) ] 3    49  [    1 ( 1,-1, 0) ] 3  :    12   10    8.523
   1  [    1 ( 0, 0, 0) ] 3    51  [    1 ( 0, 0,-1) ] 3  :    21   10    8.523
   1  [    1 ( 0, 0, 0) ] 3    53  [    1 ( 0, 0, 1) ] 3  :    24   10    8.150
   1  [    1 ( 0, 0, 0) ] 3    18  [    1 ( 1, 0, 0) ] 1  :     8   11    5.763
   1  [    1 ( 0, 0, 0) ] 3    19  [    1 (-1, 0, 0) ] 1  :    13   11    7.486
   1  [    1 ( 0, 0, 0) ] 3    34  [    1 ( 1, 0,-1) ] 2  :    28   11    7.058
   1  [    1 ( 0, 0, 0) ] 3    37  [    1 (-1, 0, 1) ] 2  :    29   11    4.075
   1  [    1 ( 0, 0, 0) ] 3    49  [    1 ( 1,-1, 0) ] 1  :    36   11    8.523
   1  [    1 ( 0, 0, 0) ] 3    49  [    1 ( 1,-1, 0) ] 2  :    40   11    8.523
   1  [    1 ( 0, 0, 0) ] 3    55  [    1 (-1, 1, 0) ] 1  :    41   11    7.058
   1  [    1 ( 0, 0, 0) ] 3    55  [    1 (-1, 1, 0) ] 2  :    45   11    7.058
   1  [    1 ( 0, 0, 0) ] 3    38  [    1 ( 0, 1, 0) ] 2  :    60   11    4.778
   1  [    1 ( 0, 0, 0) ] 3    33  [    1 ( 0,-1, 0) ] 2  :    61   11    6.280
   1  [    1 ( 0, 0, 0) ] 3    20  [    1 ( 0, 1,-1) ] 1  :    72   11    7.058
   1  [    1 ( 0, 0, 0) ] 3    17  [    1 ( 0,-1, 1) ] 1  :    77   11    4.778
   1  [    1 ( 0, 0, 0) ] 3    53  [    1 ( 0, 0, 1) ] 1  :    84   11    8.150
   1  [    1 ( 0, 0, 0) ] 3    53  [    1 ( 0, 0, 1) ] 2  :    88   11    8.150
   1  [    1 ( 0, 0, 0) ] 3    51  [    1 ( 0, 0,-1) ] 1  :    89   11    8.523
   1  [    1 ( 0, 0, 0) ] 3    51  [    1 ( 0, 0,-1) ] 2  :    93   11    8.523
   1  [    1 ( 0, 0, 0) ] 3    19  [    1 (-1, 0, 0) ] 3  :     5   12    7.486
   1  [    1 ( 0, 0, 0) ] 3    18  [    1 ( 1, 0, 0) ] 3  :     8   12    5.763
   1  [    1 ( 0, 0, 0) ] 3    37  [    1 (-1, 0, 1) ] 3  :    13   12    4.075
   1  [    1 ( 0, 0, 0) ] 3    34  [    1 ( 1, 0,-1) ] 3  :    16   12    7.058
   1  [    1 ( 0, 0, 0) ] 3    33  [    1 ( 0,-1, 0) ] 3  :    29   12    6.280
   1  [    1 ( 0, 0, 0) ] 3    38  [    1 ( 0, 1, 0) ] 3  :    32   12    4.778
   1  [    1 ( 0, 0, 0) ] 3    17  [    1 ( 0,-1, 1) ] 3  :    37   12    4.778
   1  [    1 ( 0, 0, 0) ] 3    20  [    1 ( 0, 1,-1) ] 3  :    40   12    7.058
   1  [    1 ( 0, 0, 0) ] 3    18  [    1 ( 1, 0, 0) ] 2  :     4   13    5.763
   1  [    1 ( 0, 0, 0) ] 3    19  [    1 (-1, 0, 0) ] 2  :     5   13    7.486
   1  [    1 ( 0, 0, 0) ] 3    34  [    1 ( 1, 0,-1) ] 1  :    12   13    7.058
   1  [    1 ( 0, 0, 0) ] 3    37  [    1 (-1, 0, 1) ] 1  :    13   13    4.075
   1  [    1 ( 0, 0, 0) ] 3    38  [    1 ( 0, 1, 0) ] 1  :    28   13    4.778
   1  [    1 ( 0, 0, 0) ] 3    33  [    1 ( 0,-1, 0) ] 1  :    29   13    6.280
   1  [    1 ( 0, 0, 0) ] 3    20  [    1 ( 0, 1,-1) ] 2  :    36   13    7.058
   1  [    1 ( 0, 0, 0) ] 3    17  [    1 ( 0,-1, 1) ] 2  :    37   13    4.778
   1  [    1 ( 0, 0, 0) ] 3    14  [    2 ( 0, 1, 0) ] 3  :    13   14    5.763
   1  [    1 ( 0, 0, 0) ] 3    58  [    2 ( 1, 0, 0) ] 3  :    21   14    8.523
   1  [    1 ( 0, 0, 0) ] 3    44  [    2 (-2, 0, 0) ] 3  :    29   14    6.280
   1  [    1 ( 0, 0, 0) ] 3    32  [    2 (-2, 0, 1) ] 3  :    37   14    4.075
   1  [    1 ( 0, 0, 0) ] 3    46  [    2 ( 0,-2, 0) ] 3  :    53   14    5.763
   1  [    1 ( 0, 0, 0) ] 3    26  [    2 ( 0,-2, 1) ] 3  :    61   14    4.075
   1  [    1 ( 0, 0, 0) ] 3    12  [    2 ( 0, 1,-2) ] 3  :    77   14    4.075
   1  [    1 ( 0, 0, 0) ] 3    64  [    2 ( 1, 0,-2) ] 3  :    93   14    8.523
   1  [    1 ( 0, 0, 0) ] 3    14  [    2 ( 0, 1, 0) ] 1  :    13   15    5.763
   1  [    1 ( 0, 0, 0) ] 3    58  [    2 ( 1, 0, 0) ] 2  :    21   15    8.523
   1  [    1 ( 0, 0, 0) ] 3    44  [    2 (-2, 0, 0) ] 2  :    29   15    6.280
   1  [    1 ( 0, 0, 0) ] 3    32  [    2 (-2, 0, 1) ] 1  :    37   15    4.075
   1  [    1 ( 0, 0, 0) ] 3    46  [    2 ( 0,-2, 0) ] 1  :    53   15    5.763
   1  [    1 ( 0, 0, 0) ] 3    26  [    2 ( 0,-2, 1) ] 2  :    61   15    4.075
   1  [    1 ( 0, 0, 0) ] 3    12  [    2 ( 0, 1,-2) ] 2  :    77   15    4.075
   1  [    1 ( 0, 0, 0) ] 3    64  [    2 ( 1, 0,-2) ] 1  :    93   15    8.523
   1  [    1 ( 0, 0, 0) ] 3    29  [    2 ( 0, 0, 1) ] 1  :     9   16    6.280
   1  [    1 ( 0, 0, 0) ] 3    29  [    2 ( 0, 0, 1) ] 2  :    13   16    6.280
   1  [    1 ( 0, 0, 0) ] 3    14  [    2 ( 0, 1, 0) ] 2  :    29   16    5.763
   1  [    1 ( 0, 0, 0) ] 3    58  [    2 ( 1, 0, 0) ] 1  :    45   16    8.523
   1  [    1 ( 0, 0, 0) ] 3    44  [    2 (-2, 0, 0) ] 1  :    61   16    6.280
   1  [    1 ( 0, 0, 0) ] 3    32  [    2 (-2, 0, 1) ] 2  :    77   16    4.075
   1  [    1 ( 0, 0, 0) ] 3    15  [    2 (-2, 1, 0) ] 1  :    89   16    4.778
   1  [    1 ( 0, 0, 0) ] 3    15  [    2 (-2, 1, 0) ] 2  :    93   16    4.778
   1  [    1 ( 0, 0, 0) ] 3    46  [    2 ( 0,-2, 0) ] 2  :   109   16    5.763
   1  [    1 ( 0, 0, 0) ] 3    26  [    2 ( 0,-2, 1) ] 1  :   125   16    4.075
   1  [    1 ( 0, 0, 0) ] 3    47  [    2 ( 0, 0,-2) ] 1  :   137   16    7.486
   1  [    1 ( 0, 0, 0) ] 3    47  [    2 ( 0, 0,-2) ] 2  :   141   16    7.486
   1  [    1 ( 0, 0, 0) ] 3    12  [    2 ( 0, 1,-2) ] 1  :   157   16    4.075
   1  [    1 ( 0, 0, 0) ] 3    61  [    2 ( 1,-2, 0) ] 1  :   169   16    6.280
   1  [    1 ( 0, 0, 0) ] 3    61  [    2 ( 1,-2, 0) ] 2  :   173   16    6.280
   1  [    1 ( 0, 0, 0) ] 3    64  [    2 ( 1, 0,-2) ] 2  :   189   16    8.523
   1  [    1 ( 0, 0, 0) ] 3    29  [    2 ( 0, 0, 1) ] 3  :     1   17    6.280
   1  [    1 ( 0, 0, 0) ] 3    15  [    2 (-2, 1, 0) ] 3  :    21   17    4.778
   1  [    1 ( 0, 0, 0) ] 3    47  [    2 ( 0, 0,-2) ] 3  :    33   17    7.486
   1  [    1 ( 0, 0, 0) ] 3    61  [    2 ( 1,-2, 0) ] 3  :    41   17    6.280
  41  [    2 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 1  :     4    1    4.778
  41  [    2 ( 0, 0, 0) ] 1     1  [    1 ( 0, 0, 0) ] 1  :     2    2    2.495
  41  [    2 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 1  :    10    2    4.778
  41  [    2 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 1  :    22    2    4.075
  41  [    2 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 1  :    34    2   10.289
  41  [    2 ( 0, 0, 0) ] 1     1  [    1 ( 0, 0, 0) ] 2  :     6    3    2.495
  41  [    2 ( 0, 0, 0) ] 1     1  [    1 ( 0, 0, 0) ] 3  :    10    3    2.495
  41  [    2 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 2  :    24    3    4.778
  41  [    2 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 3  :    32    3    4.778
  41  [    2 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 2  :    48    3    4.075
  41  [    2 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 3  :    56    3    4.075
  41  [    2 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 2  :    72    3   10.289
  41  [    2 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 3  :    80    3   10.289
  41  [    2 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 1  :     4    4    8.150
  41  [    2 ( 0, 0, 0) ] 1     2  [    1 ( 1, 1,-1) ] 1  :    12    4    0.000
  41  [    2 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 1  :    20    4    5.763
  41  [    2 ( 0, 0, 0) ] 1     3  [    1 ( 1,-1, 1) ] 1  :    36    4    9.982
  41  [    2 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 1  :    60    4    9.447
  41  [    2 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 1  :    68    4    4.075
  41  [    2 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 1  :    84    4    8.523
  41  [    2 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 1  :    92    4    4.778
  41  [    2 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 2  :     8    5    8.150
  41  [    2 ( 0, 0, 0) ] 1     2  [    1 ( 1, 1,-1) ] 2  :    16    5    0.000
  41  [    2 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 3  :    24    5    5.763
  41  [    2 ( 0, 0, 0) ] 1     3  [    1 ( 1,-1, 1) ] 3  :    40    5    9.982
  41  [    2 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 3  :    64    5    9.447
  41  [    2 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 2  :    72    5    4.075
  41  [    2 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 3  :    88    5    8.523
  41  [    2 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 2  :    96    5    4.778
  41  [    2 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 3  :    12    6    8.150
  41  [    2 ( 0, 0, 0) ] 1     2  [    1 ( 1, 1,-1) ] 3  :    28    6    0.000
  41  [    2 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 2  :    40    6    5.763
  41  [    2 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 2  :    60    6    4.778
  41  [    2 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 3  :    64    6    4.778
  41  [    2 ( 0, 0, 0) ] 1     3  [    1 ( 1,-1, 1) ] 2  :    72    6    9.982
  41  [    2 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 2  :    92    6   10.781
  41  [    2 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 3  :    96    6   10.781
  41  [    2 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 2  :   108    6    6.280
  41  [    2 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 3  :   112    6    6.280
  41  [    2 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 2  :   120    6    9.447
  41  [    2 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 3  :   140    6    4.075
  41  [    2 ( 0, 0, 0) ] 1     5  [    1 (-1, 1, 1) ] 2  :   156    6    7.058
  41  [    2 ( 0, 0, 0) ] 1     5  [    1 (-1, 1, 1) ] 3  :   160    6    7.058
  41  [    2 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 2  :   168    6    8.523
  41  [    2 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 3  :   188    6    4.778
  41  [    2 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 1  :    16    7    4.778
  41  [    2 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 1  :    24    7   10.781
  41  [    2 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 1  :    28    7    6.280
  41  [    2 ( 0, 0, 0) ] 1     5  [    1 (-1, 1, 1) ] 1  :    40    7    7.058
  41  [    2 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 1  :    25    8    4.075
  41  [    2 ( 0, 0, 0) ] 1    42  [    2 ( 1, 1,-1) ] 1  :    28    8    4.075
  41  [    2 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 1  :    33    8    2.495
  41  [    2 ( 0, 0, 0) ] 1    43  [    2 ( 1,-1, 1) ] 1  :    36    8    2.495
  41  [    2 ( 0, 0, 0) ] 1    45  [    2 (-1, 1, 1) ] 1  :    21    9    4.778
  41  [    2 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 1  :    24    9    4.778
  41  [    2 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 1  :    25   10    9.112
  41  [    2 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 1  :    28   10    8.150
  41  [    2 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 1  :    41   10    8.523
  41  [    2 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 1  :    44   10    8.523
  41  [    2 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 2  :    97   11    9.112
  41  [    2 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 3  :   101   11    9.112
  41  [    2 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 2  :   108   11    8.150
  41  [    2 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 3  :   112   11    8.150
  41  [    2 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 2  :   113   11    4.075
  41  [    2 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 2  :   120   11    6.280
  41  [    2 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 3  :   129   11    4.075
  41  [    2 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 3  :   140   11    4.075
  41  [    2 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 2  :   145   11    7.058
  41  [    2 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 2  :   152   11    7.486
  41  [    2 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 2  :   161   11    8.523
  41  [    2 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 3  :   165   11    8.523
  41  [    2 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 2  :   172   11    8.523
  41  [    2 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 3  :   176   11    8.523
  41  [    2 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 3  :   177   11    4.075
  41  [    2 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 3  :   188   11    4.075
  41  [    2 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 1  :    57   12    4.075
  41  [    2 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 1  :    60   12    6.280
  41  [    2 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 1  :    65   12    4.075
  41  [    2 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 1  :    68   12    4.075
  41  [    2 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 1  :    73   12    7.058
  41  [    2 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 1  :    76   12    7.486
  41  [    2 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 1  :    89   12    4.075
  41  [    2 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 1  :    92   12    4.075
  41  [    2 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 3  :    57   13    4.075
  41  [    2 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 3  :    64   13    6.280
  41  [    2 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 2  :    65   13    4.075
  41  [    2 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 2  :    72   13    4.075
  41  [    2 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 3  :    73   13    7.058
  41  [    2 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 3  :    80   13    7.486
  41  [    2 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 2  :    89   13    4.075
  41  [    2 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 2  :    96   13    4.075
  41  [    2 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 1  :     4   14    9.112
  41  [    2 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 1  :    12   14    4.075
  41  [    2 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 1  :    36   14    9.112
  41  [    2 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 1  :    44   14    5.763
  41  [    2 ( 0, 0, 0) ] 1     6  [    1 ( 0, 2, 0) ] 1  :    52   14    7.486
  41  [    2 ( 0, 0, 0) ] 1     7  [    1 ( 0, 0, 2) ] 1  :    68   14    5.763
  41  [    2 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 1  :    84   14    4.778
  41  [    2 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 1  :    92   14    7.058
  41  [    2 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 2  :     8   15    9.112
  41  [    2 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 3  :    16   15    4.075
  41  [    2 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 3  :    40   15    9.112
  41  [    2 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 2  :    48   15    5.763
  41  [    2 ( 0, 0, 0) ] 1     6  [    1 ( 0, 2, 0) ] 3  :    56   15    7.486
  41  [    2 ( 0, 0, 0) ] 1     7  [    1 ( 0, 0, 2) ] 2  :    72   15    5.763
  41  [    2 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 2  :    88   15    4.778
  41  [    2 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 3  :    96   15    7.058
  41  [    2 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 3  :    12   16    9.112
  41  [    2 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 2  :    24   16    4.075
  41  [    2 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 2  :    44   16    5.763
  41  [    2 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 3  :    48   16    5.763
  41  [    2 ( 0, 0, 0) ] 1     4  [    1 ( 2, 0, 0) ] 2  :    60   16    9.447
  41  [    2 ( 0, 0, 0) ] 1     4  [    1 ( 2, 0, 0) ] 3  :    64   16    9.447
  41  [    2 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 2  :    72   16    9.112
  41  [    2 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 3  :    92   16    5.763
  41  [    2 ( 0, 0, 0) ] 1     6  [    1 ( 0, 2, 0) ] 2  :   104   16    7.486
  41  [    2 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 2  :   124   16    7.058
  41  [    2 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 3  :   128   16    7.058
  41  [    2 ( 0, 0, 0) ] 1     7  [    1 ( 0, 0, 2) ] 3  :   140   16    5.763
  41  [    2 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 2  :   156   16    4.778
  41  [    2 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 3  :   160   16    4.778
  41  [    2 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 3  :   172   16    4.778
  41  [    2 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 2  :   184   16    7.058
  41  [    2 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 1  :    12   17    5.763
  41  [    2 ( 0, 0, 0) ] 1     4  [    1 ( 2, 0, 0) ] 1  :    16   17    9.447
  41  [    2 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 1  :    32   17    7.058
