 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 1  :    17   10    4.778
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 1  :    20   10    7.058
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 2  :     1   11    7.486
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 3  :     5   11    7.486
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 2  :    12   11    5.763
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 3  :    16   11    5.763
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 2  :    17   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 2  :    24   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 3  :    33   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 3  :    44   11    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 2  :    49   11    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 2  :    56   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 2  :    65   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 3  :    69   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 2  :    76   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 3  :    80   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 3  :    81   11    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 3  :    92   11    8.150
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 1  :     9   12    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 1  :    12   12    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 1  :    17   12    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 1  :    20   12    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 1  :    25   12    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 1  :    28   12    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 1  :    41   12    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 1  :    44   12    8.150
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 3  :     9   13    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 3  :    16   13    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 2  :    17   13    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 2  :    24   13    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 3  :    25   13    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 3  :    32   13    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 2  :    41   13    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 2  :    48   13    8.150
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 1  :     1   14    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 1  :     9   14    5.763
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 1  :    33   14    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 1  :    41   14    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 1  :    49   14    5.763
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 1  :    65   14    7.486
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 1  :    81   14    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 1  :    89   14    8.523
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 2  :     1   15    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 3  :     9   15    5.763
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 3  :    33   15    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 2  :    41   15    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 3  :    49   15    5.763
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 2  :    65   15    7.486
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 2  :    81   15    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 3  :    89   15    8.523
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 3  :     1   16    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 2  :    17   16    5.763
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 2  :    33   16    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 3  :    37   16    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 2  :    49   16    6.280
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 3  :    53   16    6.280
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 2  :    65   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 3  :    81   16    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 2  :    97   16    5.763
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 2  :   113   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 3  :   117   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 3  :   129   16    7.486
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 2  :   145   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 3  :   149   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 3  :   161   16    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 2  :   177   16    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 1  :     9   17    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 1  :    13   17    6.280
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 1  :    29   17    4.075
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 1  :    37   17    4.075
   1  [    1 ( 0, 0, 0) ] 2     1  [    1 ( 0, 0, 0) ] 2  :     2    1    0.000
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 2  :     3    2    4.075
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 2  :    11    2    7.486
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 2  :    23    2    4.778
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 2  :    35    2    2.495
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 1  :     5    3    4.075
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 3  :     7    3    4.075
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 1  :    21    3    7.486
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 3  :    25    3    7.486
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 1  :    45    3    4.778
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 3  :    49    3    4.778
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 1  :    69    3    2.495
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 3  :    73    3    2.495
   1  [    1 ( 0, 0, 0) ] 2    28  [    2 (-1,-1, 0) ] 2  :     5    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    42  [    2 (-1,-1, 1) ] 2  :    13    4    4.778
   1  [    1 ( 0, 0, 0) ] 2    13  [    2 (-1, 0, 1) ] 2  :    25    4    4.778
   1  [    1 ( 0, 0, 0) ] 2    31  [    2 (-1, 1, 0) ] 2  :    41    4    4.778
   1  [    1 ( 0, 0, 0) ] 2    63  [    2 ( 0,-1,-1) ] 2  :    49    4    7.486
   1  [    1 ( 0, 0, 0) ] 2    60  [    2 ( 0, 1,-1) ] 2  :    69    4    7.058
   1  [    1 ( 0, 0, 0) ] 2    45  [    2 ( 1,-1,-1) ] 2  :    73    4    7.058
   1  [    1 ( 0, 0, 0) ] 2    10  [    2 ( 1, 0,-1) ] 2  :    93    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    28  [    2 (-1,-1, 0) ] 1  :     5    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    42  [    2 (-1,-1, 1) ] 1  :    13    5    4.778
   1  [    1 ( 0, 0, 0) ] 2    13  [    2 (-1, 0, 1) ] 3  :    25    5    4.778
   1  [    1 ( 0, 0, 0) ] 2    31  [    2 (-1, 1, 0) ] 3  :    41    5    4.778
   1  [    1 ( 0, 0, 0) ] 2    63  [    2 ( 0,-1,-1) ] 3  :    49    5    7.486
   1  [    1 ( 0, 0, 0) ] 2    60  [    2 ( 0, 1,-1) ] 1  :    69    5    7.058
   1  [    1 ( 0, 0, 0) ] 2    45  [    2 ( 1,-1,-1) ] 3  :    73    5    7.058
   1  [    1 ( 0, 0, 0) ] 2    10  [    2 ( 1, 0,-1) ] 1  :    93    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    28  [    2 (-1,-1, 0) ] 3  :     5    6    4.075
   1  [    1 ( 0, 0, 0) ] 2    42  [    2 (-1,-1, 1) ] 3  :    21    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    11  [    2 (-1, 0,-1) ] 1  :    37    6    2.495
   1  [    1 ( 0, 0, 0) ] 2    11  [    2 (-1, 0,-1) ] 3  :    41    6    2.495
   1  [    1 ( 0, 0, 0) ] 2    13  [    2 (-1, 0, 1) ] 1  :    57    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    43  [    2 (-1, 1,-1) ] 1  :    69    6    4.075
   1  [    1 ( 0, 0, 0) ] 2    43  [    2 (-1, 1,-1) ] 3  :    73    6    4.075
   1  [    1 ( 0, 0, 0) ] 2    31  [    2 (-1, 1, 0) ] 1  :    89    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    63  [    2 ( 0,-1,-1) ] 1  :   105    6    7.486
   1  [    1 ( 0, 0, 0) ] 2    57  [    2 ( 0,-1, 1) ] 1  :   117    6    8.150
   1  [    1 ( 0, 0, 0) ] 2    57  [    2 ( 0,-1, 1) ] 3  :   121    6    8.150
   1  [    1 ( 0, 0, 0) ] 2    60  [    2 ( 0, 1,-1) ] 3  :   133    6    7.058
   1  [    1 ( 0, 0, 0) ] 2    45  [    2 ( 1,-1,-1) ] 1  :   153    6    7.058
   1  [    1 ( 0, 0, 0) ] 2    25  [    2 ( 1,-1, 0) ] 1  :   165    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    25  [    2 ( 1,-1, 0) ] 3  :   169    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    10  [    2 ( 1, 0,-1) ] 3  :   181    6    4.075
   1  [    1 ( 0, 0, 0) ] 2    11  [    2 (-1, 0,-1) ] 2  :     9    7    2.495
   1  [    1 ( 0, 0, 0) ] 2    43  [    2 (-1, 1,-1) ] 2  :    17    7    4.075
   1  [    1 ( 0, 0, 0) ] 2    57  [    2 ( 0,-1, 1) ] 2  :    29    7    8.150
   1  [    1 ( 0, 0, 0) ] 2    25  [    2 ( 1,-1, 0) ] 2  :    41    7    4.778
