 101.2213476275985,	3.25082873126391
106.36381349855503,	2.9418222408034
111.76399784998907,	2.721787520412
117.43928428252507,	2.50431033887006
123.1986914202404,	2.3170187163303
129.2415723707015,	2.13190119936948
135.57870864910836,	1.98340924337404
141.99363029094775,	1.83508984666537
148.95486205994843,	1.71674762302818
156.2598426802459,	1.58835600845165
164.19069191222928,	1.48591295334935
171.67367145584117,	1.39011170139261
180.9820504203017,	1.30043308331196
189.22729805504304,	1.23013299346208
198.83453439049907,	1.13812472542113
208.23911441874063,	1.06473758487118
218.4445686109515,	1.00716223793518
229.15198981235818,	0.94744153540513
241.17743573726312,	0.891247240117984
252.58477250775906,	0.833778945989594
264.5253752406953,	0.793076792163099
277.0326475345247,	0.750197641853122
287.2758712914492,	0.71361116368053

