 nk, la, al, be, mode_kap, mode_kap_RTA
           7           3           1           1  0.3710E-02  0.7083E-02
           8           3           1           1 -0.1542E-10  0.3419E-18
           9           3           1           1  0.3170E-16  0.1050E-24
          10           3           1           1  0.3710E-02  0.7083E-02
          11           3           1           1 -0.2373E-17  0.6656E-27
          12           3           1           1  0.4120E-02  0.7220E-02
          13           3           1           1  0.3633E-02  0.7083E-02
          14           3           1           1 -0.1542E-10  0.3419E-18
          15           3           1           1  0.4390E-02  0.7220E-02
          16           3           1           1 -0.5027E-15  0.6401E-27
          17           3           1           1  0.1732E-01  0.5103E-01
          18           3           1           1  0.8977E-01  0.7747E-01
          19           3           1           1  0.4308E-02  0.7083E-02
          20           3           1           1  0.4551E-15  0.1395E-25
          21           3           1           1  0.8977E-01  0.7747E-01
          22           3           1           1  0.8739      0.8998    
          23           3           1           1  0.5583E-14  0.4997E-25
          24           3           1           1  0.4308E-02  0.7083E-02
          25           3           1           1  0.4308E-02  0.7083E-02
          26           3           1           1  0.5583E-14  0.4997E-25
          27           3           1           1  0.8555      0.8998    
          28           3           1           1  0.8977E-01  0.7747E-01
          29           3           1           1  0.4551E-15  0.1395E-25
          30           3           1           1  0.4308E-02  0.7083E-02
          31           3           1           1  0.8977E-01  0.7747E-01
          32           3           1           1  0.1732E-01  0.5103E-01
          33           3           1           1 -0.1199E-16  0.2624E-25
          34           3           1           1  0.1732E-01  0.5103E-01
          35           3           1           1  0.1720E-16  0.2663E-26
          36           3           1           1  0.3390E-01  0.5202E-01
          37           3           1           1  0.1732E-01  0.5103E-01
          38           3           1           1   3.938       3.817    
          39           3           1           1  0.8889      0.8998    
          40           3           1           1 -0.1450E-14  0.5761E-26
          41           3           1           1  0.1720E-16  0.2663E-26
          42           3           1           1  0.8889      0.8998    
          43           3           1           1  -0.000      -0.000    
          44           3           1           1  0.8889      0.8998    
          45           3           1           1  0.3390E-01  0.5202E-01
          46           3           1           1 -0.1450E-14  0.5761E-26
          47           3           1           1  0.8889      0.8998    
          48           3           1           1   3.938       3.817    
          49           3           1           1  0.1742E-01  0.5103E-01
          50           3           1           1 -0.1249E-15  0.5580E-27
          51           3           1           1  0.4120E-02  0.7220E-02
          52           3           1           1  0.9004E-01  0.7747E-01
          53           3           1           1 -0.1249E-15  0.5580E-27
          54           3           1           1  0.1732E-01  0.5103E-01
          55           3           1           1  0.7102E-01  0.7747E-01
          56           3           1           1  0.3710E-02  0.7083E-02
          57           3           1           1  0.4120E-02  0.7220E-02
          58           3           1           1  0.7102E-01  0.7747E-01
          59           3           1           1  0.8739      0.8998    
          60           3           1           1  0.5583E-14  0.4997E-25
          61           3           1           1  0.9004E-01  0.7747E-01
          62           3           1           1  0.3710E-02  0.7083E-02
          63           3           1           1  0.5583E-14  0.4997E-25
          64           3           1           1  0.8739      0.8998    
           1           4           1           1   0.000      -0.000    
           2           4           1           1  0.2000      0.1696    
           3           4           1           1 -0.3229E-16  0.1069E-24
           4           4           1           1  0.2000      0.1696    
           5           4           1           1  0.1866      0.1696    
           6           4           1           1  0.1894E-15  0.1805E-25
           7           4           1           1  0.1866      0.1696    
           8           4           1           1  0.3807E-14  0.3714E-25
           9           4           1           1 -0.3229E-16  0.1069E-24
          10           4           1           1  0.1866      0.1696    
          11           4           1           1 -0.1253E-17  0.3707E-25
          12           4           1           1  0.1934      0.1637    
          13           4           1           1  0.1866      0.1696    
          14           4           1           1  0.3807E-14  0.3714E-25
          15           4           1           1  0.1806      0.1637    
          16           4           1           1 -0.1456E-15  0.1805E-25
          17           4           1           1  0.3108      0.3643    
          18           4           1           1  0.2630      0.2913    
          19           4           1           1  0.2000      0.1696    
          20           4           1           1  0.2572E-15  0.5223E-26
          21           4           1           1  0.2630      0.2913    
          22           4           1           1  0.4145E-01  0.2864E-01
          23           4           1           1  0.1347E-14  0.1594E-25
          24           4           1           1  0.2000      0.1696    
          25           4           1           1  0.2000      0.1696    
          26           4           1           1  0.1347E-14  0.1594E-25
          27           4           1           1  0.4212E-01  0.2864E-01
          28           4           1           1  0.2630      0.2913    
          29           4           1           1  0.2572E-15  0.5223E-26
          30           4           1           1  0.2000      0.1696    
          31           4           1           1  0.2630      0.2913    
          32           4           1           1  0.3108      0.3643    
          33           4           1           1 -0.1222E-16  0.2673E-25
          34           4           1           1  0.3108      0.3643    
          35           4           1           1   0.000      -0.000    
          36           4           1           1  0.3101      0.3517    
          37           4           1           1  0.3108      0.3643    
          38           4           1           1  0.3037E-01  0.2634E-01
          39           4           1           1  0.4315E-01  0.2864E-01
          40           4           1           1  0.1894E-15  0.1805E-25
          41           4           1           1   0.000      -0.000    
          42           4           1           1  0.4315E-01  0.2864E-01
          43           4           1           1   0.000      -0.000    
          44           4           1           1  0.4315E-01  0.2864E-01
          45           4           1           1  0.3101      0.3517    
          46           4           1           1  0.1894E-15  0.1805E-25
          47           4           1           1  0.4315E-01  0.2864E-01
          48           4           1           1  0.3037E-01  0.2634E-01
          49           4           1           1  0.3106      0.3643    
          50           4           1           1 -0.1428E-15  0.5803E-27
          51           4           1           1  0.1934      0.1637    
          52           4           1           1  0.2629      0.2913    
          53           4           1           1 -0.1428E-15  0.5803E-27
          54           4           1           1  0.3108      0.3643    
          55           4           1           1  0.2346      0.2913    
          56           4           1           1  0.1866      0.1696    
          57           4           1           1  0.1934      0.1637    
          58           4           1           1  0.2346      0.2913    
          59           4           1           1  0.4145E-01  0.2864E-01
          60           4           1           1  0.1347E-14  0.1594E-25
          61           4           1           1  0.2629      0.2913    
          62           4           1           1  0.1866      0.1696    
          63           4           1           1  0.1347E-14  0.1594E-25
          64           4           1           1  0.4145E-01  0.2864E-01
           1           5           1           1  0.4483E-17  0.6470E-26
           2           5           1           1  0.2199E-02  0.1957E-02
           3           5           1           1  0.4876E-16  0.1140E-25
           4           5           1           1  0.2249E-02  0.1957E-02
           5           5           1           1  0.1253E-02  0.1957E-02
           6           5           1           1   0.000      -0.000    
           7           5           1           1  0.1253E-02  0.1957E-02
           8           5           1           1  0.4312E-08  0.5683E-13
           9           5           1           1  0.4876E-16  0.1140E-25
          10           5           1           1  0.1253E-02  0.1957E-02
          11           5           1           1 -0.7071E-17  0.7189E-27
          12           5           1           1  0.2015E-02  0.2085E-02
          13           5           1           1  0.1296E-02  0.1957E-02
          14           5           1           1  0.4312E-08  0.5683E-13
          15           5           1           1  0.2183E-02  0.2085E-02
          16           5           1           1  0.1970E-15  0.1060E-26
          17           5           1           1  0.8805E-02  0.8570E-02
          18           5           1           1  0.5766E-02  0.6612E-02
          19           5           1           1  0.2199E-02  0.1957E-02
          20           5           1           1  0.4470E-15  0.1356E-26
          21           5           1           1  0.5766E-02  0.6612E-02
          22           5           1           1  0.1695E-02  0.1517E-02
          23           5           1           1  0.1630E-15  0.1785E-25
          24           5           1           1  0.2199E-02  0.1957E-02
          25           5           1           1  0.2199E-02  0.1957E-02
          26           5           1           1  0.1630E-15  0.1785E-25
          27           5           1           1  0.2172E-02  0.1517E-02
          28           5           1           1  0.5766E-02  0.6612E-02
          29           5           1           1  0.4470E-15  0.1356E-26
          30           5           1           1  0.2199E-02  0.1957E-02
          31           5           1           1  0.5766E-02  0.6612E-02
          32           5           1           1  0.8805E-02  0.8570E-02
          33           5           1           1   0.000      -0.000    
          34           5           1           1  0.8805E-02  0.8570E-02
          35           5           1           1  0.1933E-17  0.7189E-27
          36           5           1           1  0.1064E-01  0.9132E-02
          37           5           1           1  0.8805E-02  0.8570E-02
          38           5           1           1  0.3451E-01  0.2950E-01
          39           5           1           1  0.2372E-02  0.1517E-02
          40           5           1           1   0.000      -0.000    
