 nk, la, al, be, mode_kap, mode_kap_RTA
           8           3           1           1 -0.5284E-27  0.6168E-35
           9           3           1           1  0.1023E-15  0.3499E-25
          10           3           1           1  0.5833E-02  0.7083E-02
          11           3           1           1 -0.1011E-15 -0.4992E-27
          12           3           1           1  0.3012E-02  0.7220E-02
          13           3           1           1  0.5427E-02  0.7083E-02
          14           3           1           1 -0.5284E-27  0.6168E-35
          15           3           1           1  0.2273E-02  0.7220E-02
          16           3           1           1 -0.1315E-31  0.9364E-44
          17           3           1           1  0.2673E-01  0.5103E-01
          18           3           1           1  0.7535E-01  0.7747E-01
          19           3           1           1  0.6304E-02  0.7083E-02
          20           3           1           1 -0.4440E-15 -0.2325E-26
          21           3           1           1  0.7535E-01  0.7747E-01
          22           3           1           1  0.7995      0.8998    
          23           3           1           1  0.3295E-14  0.3331E-25
          24           3           1           1  0.6304E-02  0.7083E-02
          25           3           1           1  0.6304E-02  0.7083E-02
          26           3           1           1  0.3295E-14  0.3331E-25
          27           3           1           1  0.7997      0.8998    
          28           3           1           1  0.7535E-01  0.7747E-01
          29           3           1           1 -0.4440E-15 -0.2325E-26
          30           3           1           1  0.6304E-02  0.7083E-02
          31           3           1           1  0.7535E-01  0.7747E-01
          32           3           1           1  0.2673E-01  0.5103E-01
          33           3           1           1   0.000       0.000    
          34           3           1           1  0.2673E-01  0.5103E-01
          35           3           1           1 -0.7353E-32  0.9722E-43
          36           3           1           1  0.3569E-01  0.5202E-01
          37           3           1           1  0.2673E-01  0.5103E-01
          38           3           1           1   3.900       3.817    
          39           3           1           1  0.7774      0.8998    
          40           3           1           1  0.6870E-15 -0.1760E-26
          41           3           1           1 -0.7353E-32  0.9722E-43
          42           3           1           1  0.7774      0.8998    
          43           3           1           1  -0.000      -0.000    
          44           3           1           1  0.7774      0.8998    
          45           3           1           1  0.3569E-01  0.5202E-01
          46           3           1           1  0.6870E-15 -0.1760E-26
          47           3           1           1  0.7774      0.8998    
          48           3           1           1   3.900       3.817    
          49           3           1           1  0.2805E-01  0.5103E-01
          50           3           1           1  0.2214E-31 -0.4055E-43
          51           3           1           1  0.3012E-02  0.7220E-02
          52           3           1           1  0.7853E-01  0.7747E-01
          53           3           1           1  0.2214E-31 -0.4055E-43
          54           3           1           1  0.2673E-01  0.5103E-01
          55           3           1           1  0.5314E-01  0.7747E-01
          56           3           1           1  0.5833E-02  0.7083E-02
          57           3           1           1  0.3012E-02  0.7220E-02
          58           3           1           1  0.5314E-01  0.7747E-01
          59           3           1           1  0.7995      0.8998    
          60           3           1           1  0.3295E-14  0.3331E-25
          61           3           1           1  0.7853E-01  0.7747E-01
          62           3           1           1  0.5833E-02  0.7083E-02
          63           3           1           1  0.3295E-14  0.3331E-25
          64           3           1           1  0.7995      0.8998    
           1           4           1           1 -0.1376E-16  -0.000    
           2           4           1           1  0.2046      0.1696    
           3           4           1           1 -0.4337E-16  0.1782E-25
           4           4           1           1  0.2040      0.1696    
           5           4           1           1  0.1902      0.1696    
           6           4           1           1  0.4762E-15 -0.6768E-26
           7           4           1           1  0.1902      0.1696    
           8           4           1           1   0.000       0.000    
           9           4           1           1 -0.4337E-16  0.1782E-25
          10           4           1           1  0.1902      0.1696    
          11           4           1           1 -0.3154E-16  0.4633E-26
          12           4           1           1  0.1935      0.1637    
          13           4           1           1  0.1879      0.1696    
          14           4           1           1   0.000       0.000    
          15           4           1           1  0.1824      0.1637    
          16           4           1           1 -0.5523E-32 -0.9655E-43
          17           4           1           1  0.3244      0.3643    
          18           4           1           1  0.2667      0.2913    
          19           4           1           1  0.2046      0.1696    
          20           4           1           1 -0.6233E-15 -0.2031E-26
          21           4           1           1  0.2667      0.2913    
          22           4           1           1  0.4381E-01  0.2864E-01
          23           4           1           1  0.1782E-15  0.4649E-26
          24           4           1           1  0.2046      0.1696    
          25           4           1           1  0.2046      0.1696    
          26           4           1           1  0.1782E-15  0.4649E-26
          27           4           1           1  0.4589E-01  0.2864E-01
          28           4           1           1  0.2667      0.2913    
          29           4           1           1 -0.6233E-15 -0.2031E-26
          30           4           1           1  0.2046      0.1696    
          31           4           1           1  0.2667      0.2913    
          32           4           1           1  0.3244      0.3643    
          33           4           1           1 -0.4704E-31 -0.4335E-41
          34           4           1           1  0.3244      0.3643    
          35           4           1           1   0.000      -0.000    
          36           4           1           1  0.3182      0.3517    
          37           4           1           1  0.3244      0.3643    
          38           4           1           1  0.3457E-01  0.2634E-01
          39           4           1           1  0.4714E-01  0.2864E-01
          40           4           1           1  0.4762E-15 -0.6768E-26
          41           4           1           1   0.000      -0.000    
          42           4           1           1  0.4714E-01  0.2864E-01
          43           4           1           1   0.000      -0.000    
          44           4           1           1  0.4714E-01  0.2864E-01
          45           4           1           1  0.3182      0.3517    
          46           4           1           1  0.4762E-15 -0.6768E-26
          47           4           1           1  0.4714E-01  0.2864E-01
          48           4           1           1  0.3457E-01  0.2634E-01
          49           4           1           1  0.3158      0.3643    
          50           4           1           1 -0.1577E-31  0.3163E-43
          51           4           1           1  0.1935      0.1637    
          52           4           1           1  0.2601      0.2913    
          53           4           1           1 -0.1577E-31  0.3163E-43
          54           4           1           1  0.3244      0.3643    
          55           4           1           1  0.2408      0.2913    
          56           4           1           1  0.1902      0.1696    
          57           4           1           1  0.1935      0.1637    
          58           4           1           1  0.2408      0.2913    
          59           4           1           1  0.4381E-01  0.2864E-01
          60           4           1           1  0.1782E-15  0.4649E-26
          61           4           1           1  0.2601      0.2913    
          62           4           1           1  0.1902      0.1696    
          63           4           1           1  0.1782E-15  0.4649E-26
          64           4           1           1  0.4381E-01  0.2864E-01
           1           5           1           1 -0.2889E-16 -0.2696E-27
           2           5           1           1  0.2315E-02  0.1957E-02
           3           5           1           1  0.7562E-16  0.2532E-26
           4           5           1           1  0.2797E-02  0.1957E-02
           5           5           1           1  0.1139E-02  0.1957E-02
           6           5           1           1 -0.2828E-16   0.000    
