  RANK 4 tensors :term, group, (iatom,ixyz)_4 d4U/dx_{i,alpha}^4
    83     3      1 3     22 3      1 3      1 3   -.84829069E-01   1.00
    84     3     22 3      1 3      1 3      1 3   -.84829069E-01   1.00
    85     3     35 3      2 3     35 3     35 3   -.84829069E-01   1.00
    86     3     35 3     35 3      2 3     35 3   -.84829069E-01   1.00
    87     3     35 3     35 3     35 3      2 3   -.84829069E-01   1.00
    88     3      1 2      1 2     12 2      1 2   -.84829069E-01   1.00
    89     3      1 2     12 2      1 2      1 2   -.84829069E-01   1.00
    90     3     12 2      1 2      1 2      1 2   -.84829069E-01   1.00
    91     3     45 2      2 2     45 2     45 2   -.84829069E-01   1.00
    92     3     45 2     45 2      2 2     45 2   -.84829069E-01   1.00
    93     3     45 2     45 2     45 2      2 2   -.84829069E-01   1.00
    94     3      1 1      1 1     10 1      1 1   -.84829069E-01   1.00
    95     3      1 1     10 1      1 1      1 1   -.84829069E-01   1.00
    96     3     10 1      1 1      1 1      1 1   -.84829069E-01   1.00
    97     3     47 1      2 1     47 1     47 1   -.84829069E-01   1.00
    98     3     47 1     47 1      2 1     47 1   -.84829069E-01   1.00
    99     3     47 1     47 1     47 1      2 1   -.84829069E-01   1.00
   100     3      1 3      1 3     12 3      1 3   -.84829069E-01   1.00
   101     3      1 3     12 3      1 3      1 3   -.84829069E-01   1.00
   102     3     12 3      1 3      1 3      1 3   -.84829069E-01   1.00
   103     3     45 3      2 3     45 3     45 3   -.84829069E-01   1.00
   104     3     45 3     45 3      2 3     45 3   -.84829069E-01   1.00
   105     3     45 3     45 3     45 3      2 3   -.84829069E-01   1.00
   106     3      1 3      1 3     10 3      1 3   -.84829069E-01   1.00
   107     3      1 3     10 3      1 3      1 3   -.84829069E-01   1.00
   108     3     10 3      1 3      1 3      1 3   -.84829069E-01   1.00
   109     3     47 3      2 3     47 3     47 3   -.84829069E-01   1.00
   110     3     47 3     47 3      2 3     47 3   -.84829069E-01   1.00
   111     3     47 3     47 3     47 3      2 3   -.84829069E-01   1.00
   112     3      1 2      1 2      6 2      1 2   -.84829069E-01   1.00
   113     3      1 2      6 2      1 2      1 2   -.84829069E-01   1.00
   114     3      6 2      1 2      1 2      1 2   -.84829069E-01   1.00
   115     3     51 2      2 2     51 2     51 2   -.84829069E-01   1.00
   116     3     51 2     51 2      2 2     51 2   -.84829069E-01   1.00
   117     3     51 2     51 2     51 2      2 2   -.84829069E-01   1.00
   118     4      1 1      1 2      1 2      6 1   -.28280968E-01   1.00
   119     4      2 1     51 1     51 2     51 2   -.28280968E-01   1.00
   120     4      1 1      1 2      1 2     28 1   -.28280968E-01   1.00
   121     4      2 1     29 1     29 2     29 2   -.28280968E-01   1.00
   122     4      1 1      1 3      1 3     24 1   -.28280968E-01   1.00
