 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 1     1  [    1 ( 0, 0, 0) ] 1  :     1    1    0.000
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 1  :     1    2    5.763
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 1  :     7    2    8.523
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 1  :    19    2    7.058
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 1  :    31    2    4.075
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 2  :     1    3    5.763
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 3  :     3    3    5.763
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 2  :    13    3    8.523
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 3  :    17    3    8.523
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 2  :    37    3    7.058
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 3  :    41    3    7.058
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 2  :    61    3    4.075
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 3  :    65    3    4.075
   1  [    1 ( 0, 0, 0) ] 1    48  [    2 (-1,-1,-1) ] 1  :     1    4    9.447
   1  [    1 ( 0, 0, 0) ] 1    30  [    2 (-1,-1, 2) ] 1  :    13    4    6.280
   1  [    1 ( 0, 0, 0) ] 1    16  [    2 (-1, 2,-1) ] 1  :    25    4    4.778
   1  [    1 ( 0, 0, 0) ] 1    62  [    2 ( 2,-1,-1) ] 1  :    37    4    7.058
   1  [    1 ( 0, 0, 0) ] 1    48  [    2 (-1,-1,-1) ] 2  :     1    5    9.447
