     1  0.20786E-01  0.20786E-01  0.20786E-01 -0.12968E-01 -0.12968E-01 -0.12968E-01
     2 -0.30388E-03 -0.30388E-03 -0.30388E-03  0.87766E-02  0.87766E-02  0.87766E-02
     3  0.53278E-03  0.53278E-03  0.53278E-03  0.12957E-01  0.12957E-01  0.12957E-01
     4 -0.18168E-01 -0.18168E-01 -0.18168E-01 -0.14821E-01 -0.14821E-01 -0.14821E-01
     5 -0.16367E-01 -0.16367E-01 -0.16367E-01  0.22880E-01  0.22880E-01  0.22880E-01
     6 -0.11522E-01 -0.11522E-01 -0.11522E-01 -0.30078E-01 -0.30078E-01 -0.30078E-01
     7  0.25022E-01  0.25022E-01  0.25022E-01 -0.45448E-01 -0.45448E-01 -0.45448E-01
     8 -0.16961E-01 -0.16961E-01 -0.16961E-01 -0.63296E-01 -0.63296E-01 -0.63296E-01
     9 -0.49156E-02 -0.49156E-02 -0.49156E-02 -0.46468E-04 -0.46468E-04 -0.46468E-04
    10 -0.46488E-02 -0.46488E-02 -0.46488E-02 -0.82323E-02 -0.82323E-02 -0.82323E-02
    11  0.90068E-03  0.90068E-03  0.90068E-03  0.42186E-01  0.42186E-01  0.42186E-01
    12  0.49529E-03  0.49529E-03  0.49529E-03  0.29766E-03  0.29766E-03  0.29766E-03
    13 -0.24932E-01 -0.24932E-01 -0.24932E-01 -0.12456E-02 -0.12456E-02 -0.12456E-02
    14 -0.17349E-02 -0.17349E-02 -0.17349E-02  0.20862E-01  0.20862E-01  0.20862E-01
    15 -0.20395E-01 -0.20395E-01 -0.20395E-01 -0.36464E-01 -0.36464E-01 -0.36464E-01
    16  0.24439E-02  0.24439E-02  0.24439E-02 -0.12006E-01 -0.12006E-01 -0.12006E-01
    17 -0.90664E-02 -0.90664E-02 -0.90664E-02 -0.28167E-01 -0.28167E-01 -0.28167E-01
    18  0.10098E-01  0.10098E-01  0.10098E-01 -0.53503E-02 -0.53503E-02 -0.53503E-02
