 # om(i),i,integrated_dos,total_dos,(dos(n+1-la,i),la=1,n))
 56.222         49  3.597     0.1547      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 57.393         50  3.778     0.1556      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 58.563         51  3.961     0.1562      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 59.734         52  4.143     0.1565      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 60.905         53  4.326     0.1568      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 62.075         54  4.509     0.1569      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 63.246         55  4.692     0.1570      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 64.416         56  4.875     0.1570      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 65.587         57  5.059     0.1571      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 66.757         58  5.242     0.1572      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 67.928         59  5.426     0.1573      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 69.099         60  5.609     0.1576      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 70.269         61  5.794     0.1579      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 71.440         62  5.978     0.1583      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 72.610         63  6.164     0.1588      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 73.781         64  6.349     0.1594      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 74.951         65  6.536     0.1600      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 76.122         66  6.724     0.1608      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 77.293         67  6.912     0.1616      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 78.463         68  7.102     0.1624      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 79.634         69  7.292     0.1633      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 80.804         70  7.484     0.1641      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 81.975         71  7.676     0.1649      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 83.145         72  7.869     0.1656      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 84.316         73  8.063     0.1661      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 85.487         74  8.257     0.1664      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 86.657         75  8.451     0.1664      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 87.828         76  8.645     0.1661      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 88.998         77  8.838     0.1654      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 90.169         78  9.030     0.1642      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 91.339         79  9.219     0.1625      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 92.510         80  9.406     0.1602      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 93.680         81  9.590     0.1574      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 94.851         82  9.769     0.1539      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 96.022         83  9.944     0.1497      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 97.192         84  10.11     0.1450      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 98.363         85  10.28     0.1397      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 99.533         86  10.43     0.1338      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 100.70         87  10.58     0.1275      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 101.87         88  10.72     0.1208      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 103.05         89  10.85     0.1137      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 104.22         90  10.98     0.1063      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
 105.39         91  11.09     0.9875E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.3318E-09
 106.56         92  11.20     0.9112E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.5908E-09
 107.73         93  11.30     0.8349E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.4230E-08
 108.90         94  11.39     0.7594E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1058E-07
 110.07         95  11.47     0.6856E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.2470E-07
 111.24         96  11.54     0.6141E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.5350E-07
 112.41         97  11.60     0.5457E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1196E-06
 113.58         98  11.66     0.4810E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.2629E-06
 114.75         99  11.71     0.4204E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.4905E-06
 115.92        100  11.75     0.3643E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.8454E-06
 117.09        101  11.79     0.3129E-01  0.000      0.000      0.000      0.000      0.000      0.000     0.8201E-08 0.1325E-07 0.1428E-05
 118.26        102  11.82     0.2665E-01  0.000      0.000      0.000      0.000      0.000      0.000     0.2481E-07 0.3476E-07 0.2375E-05
 119.43        103  11.84     0.2249E-01  0.000      0.000      0.000      0.000     0.1306E-08 0.1306E-08 0.5791E-07 0.8569E-07 0.3892E-05
