   24     0.000   -0.807    0.000    0.143  59.159      59.160      59.871      59.871      94.899      94.899      94.937      94.937      99.475      99.477      102.08      102.08      162.15      162.15      162.60      162.60      181.29      181.29      185.35      185.35      194.44      194.44      194.80      194.80    
   25     0.000   -0.807    0.141   -0.285  59.350      59.350      59.350      59.351      90.463      90.463      90.463      90.463      103.32      103.32      103.32      103.32      161.83      161.83      161.83      161.83      180.62      180.62      180.62      180.62      194.30      194.30      194.30      194.30    
   26     0.000   -0.807    0.141   -0.143  58.653      58.654      59.841      59.841      90.046      90.047      90.705      90.705      102.20      102.20      104.33      104.33      161.54      161.54      162.16      162.16      179.32      179.33      183.78      183.78      191.82      191.82      195.15      195.15    
   27     0.000   -0.807    0.141    0.000  58.289      58.290      59.995      59.996      89.844      89.845      90.734      90.734      101.71      101.71      104.72      104.72      161.45      161.45      162.30      162.30      179.21      179.21      187.13      187.13      188.84      188.85      195.13      195.13    
   28     0.000   -0.807    0.141    0.143  58.653      58.654      59.841      59.842      90.046      90.046      90.705      90.705      102.20      102.20      104.33      104.33      161.54      161.54      162.16      162.17      179.32      179.33      183.78      183.78      191.82      191.82      195.15      195.15    
   29     0.000   -0.807    0.281   -0.285  58.765      58.765      58.765      58.765      82.746      82.746      82.746      82.746      105.20      105.20      105.20      105.20      160.64      160.64      160.64      160.64      176.09      176.09      176.09      176.09      191.13      191.13      191.13      191.13    
   30     0.000   -0.807    0.281   -0.143  57.455      57.456      59.704      59.704      82.048      82.048      83.414      83.414      104.63      104.63      105.72      105.72      160.33      160.33      161.00      161.00      174.46      174.46      179.14      179.14      187.83      187.83      193.16      193.16    
   31     0.000   -0.807    0.281    0.000  56.774      56.774      60.008      60.008      81.795      81.796      83.641      83.642      104.37      104.37      105.92      105.92      160.23      160.23      161.15      161.15      174.06      174.06      181.94      181.94      184.96      184.96      193.78      193.78    
   32     0.000   -0.807    0.281    0.143  57.455      57.455      59.704      59.704      82.048      82.048      83.414      83.414      104.63      104.63      105.72      105.72      160.33      160.33      161.00      161.00      174.46      174.46      179.14      179.14      187.83      187.83      193.16      193.16    
   33     0.000   -0.807    0.422   -0.285  58.192      58.192      58.192      58.192      74.875      74.875      74.875      74.875      105.09      105.09      105.09      105.09      159.08      159.08      159.08      159.08      171.09      171.09      171.09      171.09      186.74      186.74      186.74      186.74    
   34     0.000   -0.807    0.422   -0.143  56.323      56.323      59.394      59.394      73.978      73.978      76.070      76.070      104.23      104.23      105.88      105.88      158.31      158.31      160.07      160.07      169.17      169.17      173.56      173.56      183.19      183.19      189.61      189.61    
   35     0.000   -0.807    0.422    0.000  55.288      55.288      59.758      59.758      73.781      73.781      76.566      76.566      103.85      103.85      106.20      106.20      158.06      158.06      160.54      160.54      168.47      168.47      175.06      175.06      181.19      181.19      190.68      190.68    
   36     0.000   -0.807    0.422    0.143  56.323      56.323      59.394      59.395      73.978      73.978      76.070      76.070      104.23      104.23      105.88      105.88      158.31      158.31      160.07      160.07      169.17      169.17      173.56      173.56      183.19      183.19      189.61      189.61    
   37     0.000   -0.807    0.562   -0.285  57.913      57.913      57.913      57.913      68.851      68.851      68.851      68.851      103.98      103.98      103.98      103.98      156.68      156.68      156.68      156.68      168.78      168.78      168.78      168.78      182.52      182.52      182.52      182.52    
   38     0.000   -0.807    0.562   -0.143  55.854      55.854      58.903      58.903      67.772      67.772      70.785      70.785      101.71      101.71      106.06      106.06      155.50      155.50      158.24      158.24      166.93      166.93      170.58      170.58      178.57      178.57      186.14      186.14    
   39     0.000   -0.807    0.562    0.000  54.560      54.560      59.153      59.153      67.730      67.730      71.657      71.657      100.69      100.69      106.89      106.89      155.10      155.10      159.07      159.07      166.18      166.18      171.24      171.24      176.82      176.82      187.57      187.57    
   40     0.000   -0.807    0.562    0.143  55.854      55.854      58.903      58.903      67.772      67.772      70.785      70.785      101.71      101.71      106.06      106.06      155.50      155.50      158.24      158.24      166.93      166.93      170.58      170.58      178.57      178.57      186.14      186.14    
   41     0.000   -0.672   -0.703   -0.285  56.094      56.094      56.763      56.763      67.040      67.040      67.249      67.249      99.801      99.801      103.90      103.90      156.38      156.38      157.04      157.04      167.94      167.94      170.22      170.22      182.06      182.06      183.11      183.11    
   42     0.000   -0.672   -0.703   -0.143  54.399      54.399      57.602      57.602      64.928      64.928      70.052      70.052      98.909      98.909      104.58      104.58      155.17      155.17      158.62      158.62      166.92      166.92      170.95      170.95      178.81      178.81      186.26      186.26    
   43     0.000   -0.672   -0.703    0.000  53.231      53.231      57.784      57.784      64.561      64.561      71.225      71.225      98.205      98.205      105.08      105.08      154.62      154.62      159.60      159.60      166.24      166.24      171.15      171.15      177.40      177.40      187.71      187.71    
