 0.3500E-01          1  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    
  1.206              2 0.4010E-05 0.3437E-05  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.3437E-05
  2.376              3 0.5104E-04 0.4031E-04  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.7419E-05 0.3289E-04
  3.547              4 0.1963E-03 0.1245E-03  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.3200E-04 0.9248E-04
  4.717              5 0.4971E-03 0.2579E-03  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1888E-05 0.7378E-04 0.1822E-03
  5.888              6 0.1017E-02 0.4460E-03  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1122E-04 0.1328E-03 0.3020E-03
  7.058              7 0.1822E-02 0.6893E-03  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.2837E-04 0.2089E-03 0.4520E-03
  8.229              8 0.2974E-02 0.9878E-03  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.5333E-04 0.3023E-03 0.6321E-03
  9.400              9 0.4539E-02 0.1341E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.8609E-04 0.4129E-03 0.8423E-03
  10.57             10 0.6581E-02 0.1751E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1267E-03 0.5407E-03 0.1083E-02
  11.74             11 0.9311E-02 0.2339E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.1751E-03 0.6860E-03 0.1478E-02
  12.91             12 0.1352E-01 0.3606E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.2313E-03 0.8966E-03 0.2478E-02
  14.08             13 0.1935E-01 0.4999E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.2953E-03 0.1208E-02 0.3495E-02
  15.25             14 0.2673E-01 0.6322E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.3671E-03 0.1620E-02 0.4334E-02
  16.42             15 0.3571E-01 0.7702E-02  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.4467E-03 0.2133E-02 0.5122E-02
  17.59             16 0.4767E-01 0.1025E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.5359E-03 0.3851E-02 0.5866E-02
  18.76             17 0.6126E-01 0.1165E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.6630E-03 0.4308E-02 0.6675E-02
  19.93             18 0.7710E-01 0.1358E-01  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     0.8439E-03 0.4996E-02 0.7739E-02
