     1     1      1 1      1 2      1 3    25.040349      1.0000    0.00000
     1     2      1 1      1 1      2 1   -2.1621025      1.0000    0.00000
     1     3      1 1      1 2      2 1   -4.8940922      1.0000    0.00000
     1     4      1 1      1 1      2 2   -4.8940922      1.0000    0.00000
     1     5      1 1      1 2      2 3   -6.2600871      1.0000    0.00000
     1     6      1 1      1 1     11 1   0.13221087      1.0000    0.00000
     1     7      1 1      1 2     11 1   0.11351660      1.0000    0.00000
     1     8      1 2      1 2     11 1   -.12288017      1.0000    0.00000
     1     9      1 2      1 3     11 1   -.10955594      1.0000    0.00000
     1    10      1 1      1 1     11 2   -.10662246      1.0000    0.00000
     1    11      1 1      1 2     11 2   -.56801171E-01  1.0000    0.00000
     1    12      1 1      1 2     11 3   0.54777951E-01  1.0000    0.00000
     1    13      1 2      1 2     11 2   0.14700987      1.0000    0.00000
     1    14      1 2      1 3     11 2   0.20244991      1.0000    0.00000
     1    15      1 2      1 2     11 3   0.24078306      1.0000    0.00000
     1    16      1 1      2 1     12 1   -.21877941E-05  1.0000    0.00000
     1    17      1 1      2 1     12 2   0.61839565E-07  1.0000    0.00000
     1    18      1 2      2 1     12 2   -.24096738E-06  1.0000    0.00000
     1    19      1 2      2 1     12 3   0.70074919E-06  1.0000    0.00000
     1    20      1 1      2 2     12 2   -.80264582E-06  1.0000    0.00000
     1    21      1 1      2 2     12 3   -.12724643E-06  1.0000    0.00000
     1    22      1 2      2 2     12 3   0.62036204E-06  1.0000    0.00000
     1    23      1 1     11 1     13 1   0.32156990E-02  1.0000    0.00000
     1    24      1 1     11 2     13 2   0.14935967      1.0000    0.00000
     1    25      1 1     11 2     13 1   -.14094043E-01  1.0000    0.00000
     1    26      1 3     11 2     13 1   -.51431264E-01  1.0000    0.00000
     1    27      1 1     11 2     13 3   0.31421221E-01  1.0000    0.00000
     1    28      1 1     11 1     13 2   -.27706896E-02  1.0000    0.00000
     1    29      1 1     11 3     13 2   0.65500908E-01  1.0000    0.00000
     1    30      1 1     11 1     23 1   -.13542766      1.0000    0.00000
     1    31      1 1     11 2     23 2   -.42166527E-01  1.0000    0.00000
     1    32      1 1     11 2     23 1   0.42706843E-01  1.0000    0.00000
     1    33      1 3     11 2     23 1   -.51433187E-01  1.0000    0.00000
     1    34      1 1     11 2     23 3   -.38112818E-01  1.0000    0.00000
     1    35      1 1     11 1     23 2   0.69717260E-01  1.0000    0.00000
     1    36      1 1     11 3     23 2   -.40306128E-02  1.0000    0.00000
