     1     1      1 1      1 1      1 1      1 1   -.57860951      1.0000    0.00000
     1     2      1 1      1 1      1 2      1 2   -2.1232710      1.0000    0.00000
     1     3      1 1      1 1      1 1      2 1   0.10339054      1.0000    0.00000
     1     4      1 1      1 1      1 2      2 1   0.57047933E-01  1.0000    0.00000
     1     5      1 1      1 1      1 2      2 2   0.18158749      1.0000    0.00000
     1     6      1 1      1 2      1 3      2 1   0.15541286      1.0000    0.00000
     1     7      1 1      1 1      1 1      2 2   0.13566801      1.0000    0.00000
     1     8      1 1      1 1      1 2      2 3   0.25738127      1.0000    0.00000
     1     9      1 1      1 1      2 1      2 1   -.29648152E-01  1.0000    0.00000
     1    10      1 1      1 1      2 1      2 2   -.95965486E-01  1.0000    0.00000
     1    11      1 1      1 1      2 2      2 2   -.68430218E-01  1.0000    0.00000
     1    12      1 1      1 1      2 2      2 3   -.20853726      1.0000    0.00000
     1    13      1 1      1 2      2 1      2 2   -.65847731E-01  1.0000    0.00000
     1    14      1 1      1 2      2 1      2 3   -.20507550      1.0000    0.00000
