     1     1      1 1      1 1    6.2428280      1.0000    0.00000
     1     2      1 1      2 1   -.60073762      1.0000    2.49539
     1     3      1 1      2 2   -.19880898      1.0000    2.49539
     1     4      1 1      4 1   -.58674071E-01  1.0000    7.48618
     1     5      1 1      4 2   -.14458328E-01  1.0000    7.48618
     1     6      1 1      5 1   -.36179672E-01  1.0000    7.05804
     1     7      1 1      5 2   0.19639028E-02  1.0000    7.05804
     1     8      1 3      5 1   0.47391690      1.0000    7.05804
     1     9      1 1      5 3   0.47673681      1.0000    7.05804
     1    10      1 3      5 3   -.47154404E-01  1.0000    7.05804
     1    11      1 1      6 1   0.67504770      1.0000    4.77831
     1    12      1 1      6 2   -.32020140      1.0000    4.77831
     1    13      1 1      6 3   -.99695098E-01  1.0000    4.77831
     1    14      1 3      6 3   0.30948915      1.0000    4.77831
     1    15      1 1      7 1   -.16344297E-01  1.0000    5.76286
     1    16      1 3      7 3   -.17893551E-01  1.0000    5.76286
     1    17      1 1     11 1   -.91697443E-01  1.0000    4.07496
     1    18      1 1     11 2   0.28912361E-01  1.0000    4.07496
     1    19      1 2     11 2   -.88260679E-01  1.0000    4.07496
     1    20      1 2     11 3   0.23335887E-01  1.0000    4.07496
     1    21      1 1     20 1   -.36276967      1.0000    7.48618
     1    22      1 1     20 2   -.11277321      1.0000    7.48618
     1    23      1 2     20 2   -.75080303      1.0000    7.48618
     1    24      1 2     20 3   0.30615488      1.0000    7.48618
     1    25      1 1     30 1   -.55845593E-01  1.0000    6.27993
     1    26      1 1     30 2   0.86988986E-02  1.0000    6.27993
     1    27      1 1     30 3   0.13930460E-01  1.0000    6.27993
     1    28      1 3     30 3   -.35784509E-01  1.0000    6.27993
