     1     1      1 1      1 1    10.209310      1.0000    0.00000
     1     2      1 1      2 1   -2.4968010      1.0000    2.49539
     1     3      1 1      2 2   -1.7122728      1.0000    2.49539
     1     4      1 1      3 1   0.22292170E-01  1.0000    7.48618
     1     5      1 1      3 2   -.29965070E-01  1.0000    7.48618
     1     6      1 1      4 1   -.13121837E-01  1.0000    7.05804
     1     7      1 1      4 2   0.38269732E-01  1.0000    7.05804
     1     8      1 3      4 1   -.25152121E-02  1.0000    7.05804
     1     9      1 1      4 3   0.25151766E-02  1.0000    7.05804
     1    10      1 3      4 3   0.11611593E-02  1.0000    7.05804
     1    11      1 1      5 1   0.22221302E-01  1.0000    4.77831
     1    12      1 1      5 2   -.30832449E-01  1.0000    4.77831
     1    13      1 1      5 3   0.14278104E-01  1.0000    4.77831
     1    14      1 3      5 3   0.97584232E-02  1.0000    4.77831
     1    15      1 1      6 1   -.15863175E-01  1.0000    5.76286
     1    16      1 3      6 3   -.85529353E-02  1.0000    5.76286
     1    17      1 1     10 1   0.36428406      1.0000    4.07496
     1    18      1 1     10 2   -.63226400E-01  1.0000    4.07496
     1    19      1 2     10 2   -.13222854      1.0000    4.07496
     1    20      1 2     10 3   -.12944493      1.0000    4.07496
     1    21      1 1     19 1   0.97583783E-02  1.0000    7.48618
     1    22      1 1     19 2   -.14278107E-01  1.0000    7.48618
     1    23      1 2     19 2   0.22221307E-01  1.0000    7.48618
     1    24      1 2     19 3   -.30832468E-01  1.0000    7.48618
     1    25      1 1     29 1   -.32933254E-02  1.0000    6.27993
     1    26      1 1     29 2   -.26888767E-02  1.0000    6.27993
     1    27      1 1     29 3   0.34472567E-02  1.0000    6.27993
     1    28      1 3     29 3   -.20915663      1.0000    6.27993
