 # om(i),i,integrated_dos,total_dos,(dos(la,i),la=1,n))
0.33747      ,   1.592      ,  0.1247E-01
0.34071      ,   1.614      ,  0.1323E-01
0.34396      ,   1.638      ,  0.1401E-01
0.34720      ,   1.662      ,  0.1448E-01
0.35044      ,   1.686      ,  0.1432E-01
0.35369      ,   1.709      ,  0.1343E-01
0.35693      ,   1.729      ,  0.1205E-01
0.36017      ,   1.747      ,  0.1061E-01
0.36342      ,   1.763      ,  0.9520E-02
0.36666      ,   1.778      ,  0.9014E-02
0.36991      ,   1.794      ,  0.9108E-02
0.37315      ,   1.810      ,  0.9707E-02
0.37639      ,   1.828      ,  0.1064E-01
0.37964      ,   1.848      ,  0.1165E-01
0.38288      ,   1.868      ,  0.1237E-01
0.38613      ,   1.890      ,  0.1253E-01
0.38937      ,   1.910      ,  0.1214E-01
0.39261      ,   1.929      ,  0.1144E-01
0.39586      ,   1.947      ,  0.1076E-01
0.39910      ,   1.965      ,  0.1029E-01
0.40235      ,   1.982      ,  0.1003E-01
0.40559      ,   1.998      ,  0.9920E-02
0.40883      ,   2.015      ,  0.9860E-02
0.41208      ,   2.031      ,  0.9708E-02
0.41532      ,   2.047      ,  0.9342E-02
0.41857      ,   2.062      ,  0.8730E-02
0.42181      ,   2.075      ,  0.7920E-02
0.42505      ,   2.087      ,  0.6974E-02
0.42830      ,   2.097      ,  0.5926E-02
0.43154      ,   2.105      ,  0.4818E-02
0.43479      ,   2.111      ,  0.3750E-02
0.43803      ,   2.116      ,  0.2871E-02
0.44127      ,   2.120      ,  0.2307E-02
0.44452      ,   2.124      ,  0.2095E-02
0.44776      ,   2.127      ,  0.2165E-02
0.45101      ,   2.131      ,  0.2384E-02
0.45425      ,   2.136      ,  0.2624E-02
0.45749      ,   2.140      ,  0.2791E-02
0.46074      ,   2.145      ,  0.2836E-02
0.46398      ,   2.150      ,  0.2762E-02
0.46723      ,   2.154      ,  0.2640E-02
0.47047      ,   2.159      ,  0.2592E-02
0.47371      ,   2.163      ,  0.2698E-02
0.47696      ,   2.168      ,  0.2902E-02
0.48020      ,   2.173      ,  0.3030E-02
0.48344      ,   2.178      ,  0.2941E-02
0.48669      ,   2.183      ,  0.2682E-02
0.48993      ,   2.187      ,  0.2482E-02
0.49318      ,   2.191      ,  0.2581E-02
0.49642      ,   2.196      ,  0.3038E-02
0.49966      ,   2.202      ,  0.3689E-02
0.50291      ,   2.210      ,  0.4245E-02
0.50615      ,   2.217      ,  0.4467E-02
0.50940      ,   2.224      ,  0.4280E-02
0.51264      ,   2.231      ,  0.3808E-02
0.51588      ,   2.236      ,  0.3310E-02
0.51913      ,   2.241      ,  0.3042E-02
0.52237      ,   2.247      ,  0.3143E-02
0.52562      ,   2.253      ,  0.3584E-02
0.52886      ,   2.260      ,  0.4213E-02
0.53210      ,   2.268      ,  0.4834E-02
0.53535      ,   2.277      ,  0.5272E-02
0.53859      ,   2.286      ,  0.5436E-02
0.54184      ,   2.295      ,  0.5350E-02
0.54508      ,   2.304      ,  0.5127E-02
0.54832      ,   2.312      ,  0.4896E-02
0.55157      ,   2.320      ,  0.4745E-02
0.55481      ,   2.328      ,  0.4739E-02
0.55806      ,   2.336      ,  0.4952E-02
