 #junk,om(i),total_dos(i),integrate_dos(i),tretrados(test)
0.25961       ,    13.148       ,   0.70586       ,    9.0315    
0.26286       ,    13.573       ,   0.74975       ,    9.4710    
0.26610       ,    14.138       ,   0.79546       ,    9.9268    
0.26934       ,    14.681       ,   0.84292       ,    10.246    
0.27259       ,    15.732       ,   0.89379       ,    11.076    
0.27583       ,    16.345       ,   0.94663       ,    11.286    
0.27908       ,    16.759       ,    1.0008       ,    11.500    
0.28232       ,    16.547       ,    1.0543       ,    11.208    
0.28556       ,    16.019       ,    1.1061       ,    10.887    
0.28881       ,    15.053       ,    1.1548       ,    9.8467    
0.29205       ,    13.492       ,    1.1984       ,    8.2571    
0.29530       ,    12.062       ,    1.2374       ,    6.8106    
0.29854       ,    11.325       ,    1.2740       ,    6.0509    
0.30178       ,    10.730       ,    1.3087       ,    5.4324    
0.30503       ,    10.229       ,    1.3418       ,    4.8958    
0.30827       ,    9.8023       ,    1.3735       ,    4.4757    
0.31152       ,    9.5360       ,    1.4043       ,    4.1578    
0.31476       ,    8.9094       ,    1.4331       ,    3.6713    
0.31800       ,    8.4122       ,    1.4603       ,    3.1903    
0.32125       ,    8.0557       ,    1.4863       ,    2.8102    
0.32449       ,    7.7825       ,    1.5115       ,    2.5332    
0.32774       ,    7.5397       ,    1.5359       ,    2.2826    
0.33098       ,    7.3372       ,    1.5596       ,    2.0775    
0.33422       ,    7.1623       ,    1.5828       ,    1.8998    
0.33747       ,    6.9606       ,    1.6053       ,    1.6940    
0.34071       ,    6.7484       ,    1.6271       ,    1.4516    
0.34396       ,    6.5809       ,    1.6484       ,    1.2396    
0.34720       ,    6.4803       ,    1.6693       ,    1.1047    
0.35044       ,    6.4157       ,    1.6901       ,   0.99892    
0.35369       ,    6.1765       ,    1.7100       ,   0.71798    
0.35693       ,    5.9286       ,    1.7292       ,   0.52548    
0.36017       ,    5.8093       ,    1.7480       ,   0.38770    
0.36342       ,    5.7188       ,    1.7665       ,   0.28587    
0.36666       ,    5.6415       ,    1.7847       ,   0.18761    
0.36991       ,    5.5720       ,    1.8027       ,   0.10981    
0.37315       ,    5.5592       ,    1.8207       ,   0.52464E-01
