 #la,om(i),dos(la,i),total_dos(i),sum(dos_tet(1:i))*dw
    1   0.19208       0.59110       0.59110       0.99819    
    1   0.19398       0.26918       0.26918       0.99870    
    1   0.19588       0.70933E-01   0.70933E-01   0.99883    
    1   0.19778        0.0000        0.0000       0.99883    
    1   0.19968        0.0000        0.0000       0.99883    
    1   0.20158        0.0000        0.0000       0.99883    
    1   0.20349        0.0000        0.0000       0.99883    
    1   0.20539        0.0000        0.0000       0.99883    
    1   0.20729        0.0000        0.0000       0.99883    
    1   0.20919        0.0000        0.0000       0.99883    
    1   0.21109        0.0000        0.0000       0.99883    
    1   0.21299        0.0000        0.0000       0.99883    
    1   0.21489        0.0000        0.0000       0.99883    
    1   0.21679        0.0000        0.0000       0.99883    
    1   0.21870        0.0000        0.0000       0.99883    
    1   0.22060        0.0000        0.0000       0.99883    
    1   0.22250        0.0000        0.0000       0.99883    
    1   0.22440        0.0000        0.0000       0.99883    
    1   0.22630        0.0000        0.0000       0.99883    
    1   0.22820        0.0000        0.0000       0.99883    
    1   0.23010        0.0000        0.0000       0.99883    
    1   0.23200        0.0000        0.0000       0.99883    
    1   0.23391        0.0000        0.0000       0.99883    
    1   0.23581        0.0000        0.0000       0.99883    
    1   0.23771        0.0000        0.0000       0.99883    
    1   0.23961        0.0000        0.0000       0.99883    
    1   0.24151        0.0000        0.0000       0.99883    
    1   0.24341        0.0000        0.0000       0.99883    
    1   0.24531        0.0000        0.0000       0.99883    
    1   0.24721        0.0000        0.0000       0.99883    
    1   0.24911        0.0000        0.0000       0.99883    
    1   0.25102        0.0000        0.0000       0.99883    
    1   0.25292        0.0000        0.0000       0.99883    
    1   0.25482        0.0000        0.0000       0.99883    
    1   0.25672        0.0000        0.0000       0.99883    
    1   0.25862        0.0000        0.0000       0.99883    
    1   0.26052        0.0000        0.0000       0.99883    
    1   0.26242        0.0000        0.0000       0.99883    
    1   0.26432        0.0000        0.0000       0.99883    
    1   0.26623        0.0000        0.0000       0.99883    
    1   0.26813        0.0000        0.0000       0.99883    
    1   0.27003        0.0000        0.0000       0.99883    
    1   0.27193        0.0000        0.0000       0.99883    
    1   0.27383        0.0000        0.0000       0.99883    
    1   0.27573        0.0000        0.0000       0.99883    
    1   0.27763        0.0000        0.0000       0.99883    
    1   0.27953        0.0000        0.0000       0.99883    
    1   0.28144        0.0000        0.0000       0.99883    
    1   0.28334        0.0000        0.0000       0.99883    
    1   0.28524        0.0000        0.0000       0.99883    
    1   0.28714        0.0000        0.0000       0.99883    
    1   0.28904        0.0000        0.0000       0.99883    
    1   0.29094        0.0000        0.0000       0.99883    
    1   0.29284        0.0000        0.0000       0.99883    
    1   0.29474        0.0000        0.0000       0.99883    
    1   0.29665        0.0000        0.0000       0.99883    
    1   0.29855        0.0000        0.0000       0.99883    
    1   0.30045        0.0000        0.0000       0.99883    
    1   0.30235        0.0000        0.0000       0.99883    
    1   0.30425        0.0000        0.0000       0.99883    
    1   0.30615        0.0000        0.0000       0.99883    
    1   0.30805        0.0000        0.0000       0.99883    
    1   0.30995        0.0000        0.0000       0.99883    
    1   0.31185        0.0000        0.0000       0.99883    
    1   0.31376        0.0000        0.0000       0.99883    
    1   0.31566        0.0000        0.0000       0.99883    
